iter	Passed	Remaining
434	1564	2032
435	1568	2028
436	1570	2022
437	1572	2017
438	1574	2011
439	1577	2007
440	1579	2002
441	1581	1996
442	1583	1990
443	1585	1985
444	1587	1979
445	1589	1974
446	1592	1969
447	1594	1964
448	1597	1960
449	1599	1954
450	1601	1949
451	1603	1943
452	1609	1943
453	1611	1938
454	1613	1932
455	1615	1927
456	1617	1921
457	1618	1915
458	1622	1912
459	1624	1906
460	1626	1902
461	1628	1896
462	1630	1891
463	1632	1885
464	1638	1885
465	1640	1880
466	1642	1874
467	1644	1869
468	1646	1864
469	1651	1862
470	1654	1858
471	1659	1856
472	1662	1851
473	1670	1853
474	1676	1852
475	1683	1852
476	1689	1852
477	1691	1847
478	1694	1842
479	1701	1842
480	1703	1837
481	1705	1832
482	1707	1827
483	1709	1822
484	1712	1818
485	1715	1814
486	1718	1810
487	1720	1805
488	1722	1800
489	1731	1802
490	1733	1797
491	1735	1792
492	1740	1789
493	1745	1787
494	1747	1783
495	1750	1778
496	1753	1774
497	1755	1769
498	1763	1770
499	1765	1765
500	1768	1761
501	1771	1757
502	1779	1758
503	1786	1758
504	1795	1759
505	1799	1756
506	1801	1752
507	1804	1747
508	1810	1746
509	1813	1742
510	1816	1737
511	1818	1733
512	1821	1729
513	1823	1724
514	1825	1719
515	1827	1714
516	1829	1709
517	1832	1704
518	1834	1700
519	1838	1696
520	1841	1693
521	1843	1688
522	1845	1683
523	1847	1678
524	1855	1678
525	1857	1674
526	1859	1669
527	1862	1664
528	1864	1660
529	1868	1656
530	1870	1652
531	1873	1647
532	1875	1643
533	1877	1638
534	1890	1643
535	1892	1638
536	1894	1633
537	1898	1630
538	1901	1626
539	1903	1621
540	1905	1616
541	1907	1612
542	1917	1614
543	1920	1610
544	1924	1606
545	1929	1604
546	1932	1600
547	1934	1595
548	1936	1591
549	1939	1586
550	1946	1586
551	1949	1581
552	1951	1577
553	1954	1573
554	1957	1569
555	1961	1566
556	1964	1562
557	1966	1558
558	1970	1554
559	1977	1553
560	1979	1549
561	1982	1544
562	1985	1540
563	1990	1538
564	1992	1534
565	1995	1529
566	1997	1525
567	2000	1521
568	2008	1521
569	2011	1517
570	2013	1512
571	2015	1508
572	2018	1504
573	2021	1500
574	2024	1496
575	2026	1491
576	2028	1487
577	2030	1482
578	2037	1481
579	2039	1477
580	2042	1472
581	2044	1468
582	2047	1464
583	2051	1461
584	2054	1457
585	2057	1453
586	2059	1449
587	2061	1444
588	2065	1441
589	2067	1436
590	2069	1432
591	2072	1428
592	2074	1423
593	2076	1419
594	2080	1416
595	2083	1412
596	2085	1407
597	2087	1403
598	2089	1399
599	2092	1394
600	2098	1392
601	2100	1388
602	2103	1384
603	2105	1380
604	2109	1377
605	2112	1373
606	2115	1369
607	2117	1364
608	2119	1360
609	2121	1356
610	2127	1354
611	2129	1350
612	2131	1345
613	2133	1341
614	2136	1337
615	2139	1333
616	2142	1329
617	2145	1326
618	2147	1321
619	2149	1317
620	2151	1313
621	2158	1311
622	2160	1307
623	2162	1303
624	2165	1299
625	2167	1295
626	2171	1291
627	2174	1287
628	2176	1283
629	2178	1279
630	2180	1275
631	2186	1273
632	2188	1269
633	2191	1264
634	2193	1260
635	2195	1256
636	2197	1252
637	2201	1248
638	2203	1244
639	2206	1240
640	2208	1236
641	2210	1232
642	2218	1231
643	2221	1227
644	2223	1223
645	2225	1219
646	2228	1215
647	2233	1213
648	2237	1209
649	2239	1205
650	2241	1201
651	2248	1200
652	2251	1196
653	2254	1192
654	2256	1188
655	2258	1184
656	2262	1181
657	2266	1177
658	2268	1173
659	2271	1170
660	2273	1165
661	2281	1165
662	2284	1161
663	2286	1156
664	2288	1152
665	2292	1149
666	2297	1146
667	2301	1144
668	2307	1141
669	2310	1137
670	2312	1133
671	2314	1129
672	2316	1125
673	2319	1121
674	2323	1118
675	2325	1114
676	2328	1110
677	2330	1106
678	2332	1102
679	2334	1098
680	2342	1097
681	2344	1093
682	2347	1089
683	2350	1085
684	2354	1082
685	2357	1078
686	2359	1074
687	2362	1071
688	2379	1074
689	2386	1072
690	2390	1068
691	2392	1064
692	2394	1060
693	2397	1056
694	2403	1054
695	2405	1050
696	2407	1046
697	2410	1042
698	2413	1039
699	2417	1035
700	2419	1032
701	2422	1028
702	2424	1024
703	2426	1020
704	2433	1018
705	2435	1014
706	2437	1010
707	2440	1006
708	2442	1002
709	2446	999
710	2449	995
711	2451	991
712	2454	987
713	2456	983
714	2462	981
715	2464	977
716	2466	973
717	2470	970
718	2472	966
719	2475	962
720	2478	959
721	2481	955
722	2485	952
723	2488	948
724	2495	946
725	2498	942
726	2500	938
727	2502	934
728	2504	931
729	2508	927
730	2511	924
731	2513	920
732	2515	916
733	2518	912
734	2524	910
735	2526	906
736	2528	902
737	2531	898
738	2533	894
739	2537	891
740	2540	887
741	2542	884
742	2545	880
743	2547	876
744	2549	872
745	2552	869
746	2555	865
747	2557	861
748	2559	857
749	2561	853
750	2563	849
751	2567	846
752	2569	842
753	2572	839
754	2574	835
755	2576	831
756	2578	827
757	2585	825
758	2587	821
759	2589	817
760	2592	814
761	2594	810
762	2598	807
763	2601	803
764	2604	799
765	2606	796
766	2608	792
767	2614	789
768	2617	786
769	2619	782
770	2621	778
771	2623	774
772	2626	771
773	2629	767
774	2632	764
775	2634	760
776	2636	756
777	2639	753
778	2645	750
779	2647	746
780	2649	743
781	2652	739
782	2654	735
783	2657	732
784	2660	728
785	2663	725
786	2665	721
787	2667	717
788	2678	716
789	2682	713
790	2684	709
791	2687	705
792	2690	702
793	2693	698
794	2695	695
795	2698	691
796	2700	687
797	2707	685
798	2709	681
799	2711	677
800	2714	674
801	2716	670
802	2720	667
803	2723	663
804	2725	660
805	2727	656
806	2729	652
807	2732	649
808	2734	645
809	2736	641
810	2739	638
811	2741	634
812	2744	631
813	2747	627
814	2750	624
815	2752	620
816	2755	617
817	2757	613
818	2765	611
819	2768	607
820	2770	604
821	2772	600
822	2776	597
823	2780	593
824	2782	590
825	2784	586
826	2786	582
827	2790	579
828	2792	576
829	2794	572
830	2797	568
831	2800	565
832	2803	561
833	2806	558
834	2809	555
835	2811	551
836	2814	548
837	2816	544
838	2823	541
839	2826	538
840	2828	534
841	2830	531
842	2833	527
843	2837	524
844	2839	520
845	2841	517
846	2844	513
847	2846	510
848	2848	506
849	2861	504
850	2863	501
851	2869	498
852	2872	495
853	2874	491
854	2876	487
855	2878	484
856	2886	481
857	2888	478
858	2890	474
859	2893	470
860	2895	467
861	2900	464
862	2903	460
863	2905	457
864	2908	453
865	2914	450
866	2916	447
867	2919	443
868	2921	440
869	2923	436
870	2928	433
871	2931	430
872	2934	426
873	2936	423
874	2938	419
875	2946	417
876	2949	413
877	2951	410
878	2953	406
879	2956	403
880	2960	399
881	2963	396
882	2965	392
883	2968	389
884	2970	386
885	2976	382
886	2978	379
887	2981	376
888	2983	372
889	2986	369
890	2991	365
891	2994	362
892	2996	359
893	2999	355
894	3001	352
895	3004	348
896	3006	345
897	3009	341
898	3011	338
899	3015	335
900	3018	331
901	3021	328
902	3023	324
903	3026	321
904	3028	317
905	3031	314
906	3033	311
907	3036	307
908	3039	304
909	3042	300
910	3049	297
911	3052	294
912	3054	291
913	3057	287
914	3063	284
915	3066	281
916	3068	277
917	3071	274
918	3074	270
919	3077	267
920	3080	264
921	3083	260
922	3086	257
923	3093	254
924	3095	251
925	3098	247
926	3100	244
927	3102	240
928	3107	237
929	3110	234
930	3112	230
931	3114	227
932	3117	223
933	3123	220
934	3126	217
935	3128	213
936	3130	210
937	3132	207
938	3136	203
939	3139	200
940	3142	197
941	3144	193
942	3146	190
943	3149	186
944	3151	183
945	3153	180
946	3156	176
947	3158	173
948	3161	169
949	3165	166
950	3168	163
951	3170	159
952	3172	156
953	3175	153
954	3178	149
955	3181	146
956	3183	143
957	3186	139
958	3190	136
959	3193	133
960	3195	129
961	3198	126
962	3200	122
963	3207	119
964	3209	116
965	3212	113
966	3214	109
967	3217	106
968	3221	103
969	3224	99
970	3227	96
971	3229	93
972	3235	89
973	3237	86
974	3240	83
975	3242	79
976	3245	76
977	3248	73
978	3251	69
979	3254	66
980	3256	63
981	3259	59
982	3261	56
983	3264	53
984	3267	49
985	3269	46
986	3271	43
987	3274	39
988	3276	36
989	3280	33
990	3282	29
991	3285	26
992	3287	23
993	3289	19
994	3296	16
995	3299	13
996	3301	9
997	3304	6
998	3306	3
999	3311	0
